Index,Image Features
170,"[ 0.00000000e+00  4.33007658e-01  8.29831004e-01 ... -3.51913381e-18
  1.33333333e+00  1.60700000e+03]"
171,"[2.13695932e-02 5.49033940e-01 1.87186822e-01 ... 1.25856193e-16
 1.21673004e+00 1.01900000e+03]"
172,"[5.10866106e-01 6.25554740e-01 2.71939021e-03 ... 7.48044749e-17
 8.09375000e-01 1.03900000e+03]"
173,"[1.03432104e-01 1.69410944e+00 9.35243890e-02 ... 5.77850369e-18
 1.50234742e+00 8.20000000e+02]"
174,"[ 1.06145732e-01  3.02290201e-01  2.80832499e-01 ... -1.46214961e-17
  6.64062500e-01  1.10500000e+03]"
175,"[ 8.35093670e-03  4.14318949e-01  5.20631634e-02 ... -6.97186612e-19
  1.33333333e+00  1.07500000e+03]"
176,"[1.47433177e-01 3.67467850e-01 3.38827789e-01 ... 6.10365637e-18
 1.33333333e+00 8.18000000e+02]"
177,"[ 3.84215154e-02  1.23436880e+00  2.86629766e-01 ... -1.32967654e-14
  1.33333333e+00  2.98000000e+02]"
178,"[7.60863200e-02 1.78677821e+00 1.82806158e+00 ... 1.64592126e-18
 1.33333333e+00 1.11000000e+03]"
179,"[ 4.13906574e-01  4.52155143e-01  8.73057783e-01 ... -1.82573058e-17
  1.33891213e+00  1.26200000e+03]"
180,"[6.90152720e-02 1.75803769e+00 6.00948751e-01 ... 3.69982117e-18
 1.49882904e+00 1.33700000e+03]"
181,"[2.59104669e-02 3.01293075e-01 4.31189895e-01 ... 3.49115103e-14
 7.50000000e-01 1.45000000e+02]"
182,"[ 0.00000000e+00  5.02883732e-01  6.61565185e-01 ... -8.59708470e-19
  1.06609808e+00  9.99000000e+02]"
183,"[ 7.66474128e-01  1.70064843e+00  2.00704068e-01 ... -3.13725548e-16
  1.49882904e+00  4.27000000e+02]"
184,"[6.93376958e-01 8.81729126e-01 8.97510111e-01 ... 3.95678267e-18
 1.49882904e+00 7.39000000e+02]"
185,"[ 1.06356092e-01  7.72742450e-01  1.92699802e+00 ... -2.77978435e-22
  1.49532710e+00  8.94000000e+02]"
186,"[ 7.35425428e-02  9.41797674e-01  1.35877267e-01 ... -1.84655951e-19
  1.42857143e+00  9.17000000e+02]"
187,"[1.38019574e+00 2.98782420e+00 7.78458834e-01 ... 1.39041793e-19
 1.49184149e+00 1.00900000e+03]"
188,"[2.68291056e-01 2.05133557e-01 1.17813997e-01 ... 1.52981142e-21
 1.33333333e+00 3.57900000e+03]"
189,"[2.25374028e-01 2.03128621e-01 0.00000000e+00 ... 7.64492047e-17
 1.50588235e+00 1.01600000e+03]"
190,"[ 5.53005673e-02  2.96538186e+00  8.27998400e-01 ... -4.87531900e-14
  1.33333333e+00  4.41000000e+02]"
191,"[4.16574441e-03 7.82375857e-02 3.67724523e-02 ... 1.11620019e-16
 1.33333333e+00 2.78000000e+02]"
192,"[ 7.79353529e-02  1.62166610e-01  0.00000000e+00 ... -7.86371659e-15
  1.00000000e+00  1.00000000e+00]"
